event_type,product_id,category_id,brand,price,user_id,main_category,sub_category,year,month,day,weekday
2,5.591543220799869e-05,2.782358876629587e-08,83,27.028318482658147,0.8568229881530947,7,97,2019,10,3,3
2,0.06665310975274541,2.4465567349807316e-08,452,7.173562573784381,0.8700600602484279,2,59,2019,10,15,1
2,7.053105267202861e-05,2.782358876629587e-08,83,28.275607862608364,0.837759686089238,7,97,2019,10,14,0
2,3.9761325379333856e-05,2.782358876629587e-08,83,23.982910582329243,0.9880691721391759,7,97,2019,10,25,4
2,0.3487649612670673,7.641206423159019e-08,16,14.65196232591389,0.8876351613679534,7,24,2019,10,22,1
2,0.03076025705440443,9.484690366434734e-08,610,15.219724044804492,0.8313519123786897,2,65,2019,10,29,1
2,0.008191328762638495,7.243726685146612e-08,1,24.85457704327313,0.9922967114110972,4,35,2019,10,28,0
2,0.7264916548396952,0.37818769064571,701,4.106093033529562,0.8291307161451447,7,97,2019,10,15,1
2,0.24273111347301057,1.0279649131916813e-08,166,7.327346040688948,0.8693131161310321,7,97,2019,10,8,1
2,0.06836860752077778,1.1335027494396854e-07,707,11.86465338726758,0.8513104505013194,2,84,2019,10,27,6
2,0.2871687023462396,6.243174155429188e-08,595,11.343720729989784,0.828767012257255,4,35,2019,10,31,3
2,0.2001273490635473,1.089642864826601e-08,331,17.865609421455513,0.9270047111851223,7,97,2019,10,27,6
2,4.268444947214123e-05,2.782358876629587e-08,583,27.742386342922988,0.6252242945962179,7,97,2019,10,24,3
2,0.005237058868095237,5.4687738781922235e-08,111,24.331255619059203,0.9284413274072076,4,74,2019,10,20,6
2,0.01369052861297454,1.788659176327201e-08,768,17.12921480979207,0.9740937633578572,7,121,2019,10,10,3
2,0.06500867296046622,1.9873990453334045e-08,374,2.7549954627911823,0.8251671203649971,7,8,2019,10,3,3
2,0.29742972262663525,1.3774730689419812e-08,755,18.002222085064943,0.8235253226674264,7,97,2019,10,8,1
0,2.676966274464329e-05,2.782358876629587e-08,83,21.429185705481203,0.9245588004603764,7,97,2019,10,30,2
2,5.606928084446114e-05,2.782358876629587e-08,83,27.569911135148768,0.9181770519240107,7,97,2019,10,15,1
2,0.005237298188196404,5.4687738781922235e-08,111,25.951685879726583,0.8207606376494279,4,74,2019,10,16,2
2,0.04444536677651687,9.464131167646883e-08,683,14.432601983010548,0.9053263563826888,2,69,2019,10,13,6
2,0.34877185026712226,7.641206423159019e-08,281,9.491575211733824,0.9358995902283942,7,24,2019,10,20,6
2,0.09914865976640719,1.6310377048966984e-08,565,4.8559242168715935,0.8790092080159346,4,28,2019,10,26,5
2,0.046147428430298086,1.1239083974601272e-07,737,14.260084151224351,0.841493299151232,2,42,2019,10,1,1
2,0.34885564649111606,7.641206423159019e-08,281,11.624973118248487,0.8668082338582441,7,24,2019,10,11,4
2,0.04786754165742436,1.1396705446031774e-07,234,7.454528824815154,0.8348625803287373,2,46,2019,10,28,0
2,0.005232340843243692,5.4687738781922235e-08,651,20.168787767240747,0.9665653872207673,4,74,2019,10,22,1
2,5.608637513740411e-05,2.782358876629587e-08,83,28.275607862608364,0.8681923706907542,7,97,2019,10,26,5
2,0.005186938401194028,5.4687738781922235e-08,83,28.275607862608364,0.8405128036240666,4,74,2019,10,1,1
2,0.027347073771583595,9.594339900331761e-08,365,16.04306703844374,0.9420287598762045,7,97,2019,10,11,4
